	Domain	Phylum	Class	Order	Family	Genus	Species
3d936c2b1991dc1d60f3e58384086611	d__Bacteria	 p__Chloroflexi	 c__Ktedonobacteria	 o__C0119	 f__C0119	 g__C0119	 s__uncultured_soil
4297d9104bcfb869330c11854476937d	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
4236f8480c242449154ea9f8bc1381ae	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Parcubacteria	 f__Parcubacteria	 g__Parcubacteria	unknown
6c45a7646b80d4b45b72dc6a1ee927a1	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Entomoplasmatales	 f__type_III	 g__type_III	 s__uncultured_Mollicutes
f385ac9c34b6d2e52f4693546be781a8	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Parcubacteria	 f__Parcubacteria	 g__Parcubacteria	 s__uncultured_bacterium
afddb5d75e90a28a8d8f6f3c9c073240	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria	 o__Parcubacteria	 f__Parcubacteria	 g__Parcubacteria	 s__uncultured_bacterium
ab460f9f3ab5dfad494cd2c79d467514	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__67-14	 g__67-14	 s__uncultured_soil
778a0cf7ef78363753fd6233257588af	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	 s__uncultured_soil
19999e14e1d382f00c81fbd2ccffef03	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Blastocatellales	 f__Blastocatellaceae	 g__Stenotrophobacter	unknown
2c0df9107a75f25eea212a11a16c319d	d__Bacteria	 p__Sumerlaeota	 c__Sumerlaeia	 o__Sumerlaeales	 f__Sumerlaeaceae	 g__Sumerlaea	 s__metagenome
5e0a8d8329613a5970d6193713a45a2c	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	unknown	unknown	unknown
6d2670ef2cd0c8f6c14ee60c2d35d9ab	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_Chloroflexi
8b91d8d0f726b0036f2474614316f08f	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_bacterium
2f49c14e6b0fe60a64bdbaf1f45b3404	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Anaerolineaceae
9ba4d8e5566a04608776f3a09490892e	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Anaerolineaceae
b26bdde434a64e06c621c7369ffff6c4	d__Bacteria	 p__Firmicutes	 c__Desulfotomaculia	 o__Desulfotomaculales	 f__Desulfotomaculales	 g__Pelotomaculum	 s__uncultured_Clostridiales
3828cfe2ce79529666a49ba768f911d5	d__Archaea	 p__Nanoarchaeota	 c__Nanoarchaeia	 o__Woesearchaeales	 f__Woesearchaeales	 g__Woesearchaeales	 s__uncultured_archaeon
2c2f4262cc04257c4bb43b3f770f8bbd	d__Archaea	 p__Halobacterota	 c__Methanosarcinia	 o__Methanosarciniales	 f__Methanosarcinaceae	 g__Methanosarcina	 s__Methanosarcina_thermophila
3c9e26f6f0c3144a908ad33576e305a5	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	unknown
b564b92b6827779c75505671385819bb	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	unknown
14ee8d741d6543f3f870bb47079cac41	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae	unknown	unknown
49224944952eb2106dc9e5078a4e0c40	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae	unknown	unknown
64a7ab9d598f59b91d328382e1788eb8	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae	 g__CL500-29_marine_group	unknown
1b3083e274e23c9ff9bf447554457113	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Iamiaceae	 g__Iamia	unknown
29d5c520089546b2a24fa441aa0be8f4	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Iamiaceae	 g__Iamia	unknown
357f6aad29fcce6c2a63e2adb52672e1	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
6fa6450681582896d2496718ef267f86	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Iamiaceae	 g__Iamia	 s__uncultured_Iamiaceae
60a738ec8539488c0cbae89e0f3162cb	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	unknown	unknown	unknown	unknown
655284f949c511573e880e3b429ef5d4	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Iamiaceae	 g__Iamia	unknown
6eb7fe7770bb771c902ce04fee13678c	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	unknown	unknown	unknown
78ce157da997dda6eaf445e2d48c0b85	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__uncultured	 g__uncultured	 s__uncultured_Iamiaceae
44e4bcae66690f75ca08cedd73509e64	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	unknown	unknown	unknown
4a8fbb033ea422d6e0557d4ba27f0127	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__uncultured	 g__uncultured	 s__metagenome
346a4bd453aa13f9952e3d27014cd9e7	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	unknown	unknown	unknown	unknown
ec2f170f14fa9abeafa0e9c3169d8ed6	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Iamiaceae	 g__Iamia	unknown
a2139051fc4a6f9fc17f18f16401d5aa	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__uncultured	 f__uncultured	 g__uncultured	unknown
67d8b1d27d9f2d7b210f1ed2e5a6ec98	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	unknown	unknown	unknown	unknown
23be82ff80600e6547936e1560ac7197	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Pseudonocardiales	 f__Pseudonocardiaceae	 g__Pseudonocardia	unknown
ff4168398c5b5570c8d4f1b3caa4135c	d__Bacteria	 p__Gemmatimonadota	 c__S0134_terrestrial_group	 o__S0134_terrestrial_group	 f__S0134_terrestrial_group	 g__S0134_terrestrial_group	 s__uncultured_Gemmatimonadales
b5c883771013513fe60725de4bcd08b0	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__uncultured_bacterium
334448c1d7fc1630ae05790a6d5a7574	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__uncultured_bacterium
f50df059b078d48e003aac7e61ff8289	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__uncultured_bacterium
5afb044f33487dc63f61c06d35cb2f8f	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	 s__uncultured_Isosphaera
3e90d451f87f3611f48df9790002596f	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	unknown
3fe5d458d75a347adbf611b9dcb65be1	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	unknown	unknown
fdd848f19443b697d2f27faa4d382e67	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	unknown
c65a110ebdd12a72f5fff677c75d0883	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	unknown
4521f3ba98053bf5c1d75430c1600818	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	unknown	unknown
b30e45f1186f9a3c601906b0047d749e	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	 s__uncultured_Planctomycetales
0fd11286527f1536f7a7d158edfb3623	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__Isosphaera	 s__Nostocoida_limicola
4026b74e7593e3f518a836487e78a5ae	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	 s__bacterium_Ellin6059
1d95b95d90377a96990d2483f66261b8	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__Isosphaeraceae	 s__uncultured_planctomycete
5bba129b0a2f753def3f3d3be5babbf2	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__Tundrisphaera	 s__metagenome
9cf8e7aa219c655daf9b6312de52c416	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	unknown
25be2176973bacf5332e9d7490be1af0	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	 s__bacterium_Ellin6059
ac37d668b9005a520bb358e28e921d65	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__Singulisphaera	unknown
5e7e74df2ae33a0747d71a6f88b4bf45	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__Tundrisphaera	 s__metagenome
6c3124c42010e2ec6a1ef3d59edcdd69	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	unknown
bc98e446cdde6ce13d6a9ff05b4c8396	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	unknown	unknown
b7ac00e13651274966f17bca0b523cb9	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	 s__uncultured_Planctomycetales
c70c392c4e403e3247b93d8fc0c2ef5d	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__Singulisphaera	unknown
9d291b2c290460b3fabba545ce1ef9fb	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	unknown	unknown
811a242a1385ede8ffbf748a7d5bf9fb	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	unknown	unknown
1864f1f9b5c9fecca399b1d9f7138fc8	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
1788190ce05720b6ecc3f93bb80ae325	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__Singulisphaera	 s__Singulisphaera_acidiphila
1be59f72fa4521a27b68dd1ff45e52a8	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	 g__uncultured	 s__uncultured_Isosphaera
fa9d7f48ec80f7c10c26e10b1a08eb86	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
39691c3cec248326435d1d5fbf9d5fc6	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
71ec396bbbc0431ef0fa92a124981602	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
00900dcda542bb4be9a496b7fa47a10e	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	unknown	unknown
1c96b695f7730109939d9eca87dfceae	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Isosphaerales	 f__Isosphaeraceae	unknown	unknown
d3792f96960653c0f47e86ef19975116	d__Bacteria	 p__Gemmatimonadota	 c__S0134_terrestrial_group	 o__S0134_terrestrial_group	 f__S0134_terrestrial_group	 g__S0134_terrestrial_group	unknown
2ead0720e1e108b12a2965091d3a2710	d__Bacteria	 p__Sumerlaeota	 c__Sumerlaeia	 o__Sumerlaeales	 f__Sumerlaeaceae	 g__Sumerlaea	unknown
64b086db1920f77c269e8400fa51b6ff	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
f1bc8c35e83bdd6288c3bd45d132abe5	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_Iamia
82e60101a594fbcf5a31eeb219249e06	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
47fae81cd95c8e7bf447d48e94dba0a8	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
aba0348f60e210e549c42ef5b3b48084	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
bb90cd238d25e120d2ee947de67010b9	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
0cc692b89926d0b2ea50b19906fd272a	d__Bacteria	 p__Chloroflexi	 c__Chloroflexia	 o__Thermomicrobiales	unknown	unknown	unknown
b3fc4f14d21664817b6f616058c93323	d__Bacteria	 p__Armatimonadota	 c__Fimbriimonadia	 o__Fimbriimonadales	 f__Fimbriimonadaceae	 g__Fimbriimonadaceae	unknown
7d1df09817c8dc5325e7537083beeea9	d__Bacteria	 p__Armatimonadota	 c__Fimbriimonadia	 o__Fimbriimonadales	 f__Fimbriimonadaceae	 g__Fimbriimonadaceae	unknown
c64c530e72394211e2d274ea06d1d097	d__Bacteria	 p__Armatimonadota	 c__Fimbriimonadia	 o__Fimbriimonadales	 f__Fimbriimonadaceae	 g__Fimbriimonadaceae	 s__uncultured_bacterium
65d0ba15c567acaa25a93462e51f89f1	d__Bacteria	 p__Armatimonadota	 c__Fimbriimonadia	 o__Fimbriimonadales	 f__Fimbriimonadaceae	 g__Fimbriimonadaceae	 s__uncultured_Armatimonadetes
5898e9d04c3b8984b68b0bdc6c0a5eee	d__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	 s__uncultured_Crater
ffd8cb5ad31ca4d2904c4cb6d726231c	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	unknown	unknown	unknown	unknown
b55775b8f4d2bb029be3dd11be71dd00	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae	 g__uncultured	 s__uncultured_Nitrospira
4848f301fe9253d46d0eae9f184576be	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae	 g__Gemmatimonas	 s__uncultured_Gemmatimonas
c55c5b323309a9ef2cbd8222ce16cec3	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__IMCC26256	 f__IMCC26256	 g__IMCC26256	 s__uncultured_Ferrimicrobium
22dbd9730c83fe1cb61307f5e6d7723b	d__Bacteria	 p__Gemmatimonadota	 c__Longimicrobia	 o__Longimicrobiales	 f__Longimicrobiaceae	 g__YC-ZSS-LKJ147	unknown
c0844418f0603516585b97aecbab6947	d__Bacteria	 p__Gemmatimonadota	 c__Longimicrobia	 o__Longimicrobiales	 f__Longimicrobiaceae	unknown	unknown
eb7eb4f818e37c23f44256b60e2b6614	d__Bacteria	 p__Gemmatimonadota	 c__Longimicrobia	 o__Longimicrobiales	 f__Longimicrobiaceae	 g__Longimicrobiaceae	 s__uncultured_bacterium
856f8d800c83d88e04430e4bc7da8860	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
308c8d4ba5adae627793db34ba50cf9a	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__WD2101_soil_group	 g__WD2101_soil_group	unknown
cd8c753f7d4139d5b497c1a1b69a0ac4	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Tepidisphaerales	 f__WD2101_soil_group	 g__WD2101_soil_group	unknown
6beafcda933b7e1459e179e00f4785e7	d__Archaea	 p__Thermoplasmatota	 c__Thermoplasmata	unknown	unknown	unknown	unknown
135512a8a8015aca5c2d17938df0f344	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micropepsales	 f__Micropepsaceae	unknown	unknown
230ae4685a4af2cac0a11b57f114e096	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__A0839	 g__A0839	 s__uncultured_sludge
3f9be08f4d555fb6b326c458f7ac07a0	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__A0839	 g__A0839	 s__uncultured_Phyllobacteriaceae
09f6e3ccf51112c22ff73380d1353b40	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__AKAU3564_sediment_group	 g__AKAU3564_sediment_group	unknown
98a1805930a5825a5869402aa84092b7	d__Bacteria	 p__Fibrobacterota	 c__Chitinivibrionia	 o__uncultured	 f__uncultured	 g__uncultured	unknown
061e9bff55a3127bc358a3ba7463d56e	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	 s__wastewater_metagenome
9dce9771a0620c1db6caa39f8992032b	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__LWQ8	 g__LWQ8	unknown
76a6d698fd6740aaf950c1883c2f6387	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__uncultured	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
514c813fadc1f8886f0f75b4c31b875d	d__Bacteria	 p__Acidobacteriota	 c__AT-s3-28	 o__AT-s3-28	 f__AT-s3-28	 g__AT-s3-28	unknown
80f0a1f5a81b68c76f2dde86e486a48a	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	 s__uncultured_Devosia
e9575632151a19f51b2de7315064a27b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Spirosomaceae	 g__Emticicia	unknown
dba43bb70ec934ed2d5a7ad99a638bd7	d__Bacteria	 p__Gemmatimonadota	 c__Longimicrobia	 o__Longimicrobiales	 f__Longimicrobiaceae	 g__Longimicrobiaceae	 s__uncultured_soil
1411a5ffd745110c43a4eb0cf2d5da57	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae	 g__Gemmatimonas	 s__uncultured_Gemmatimonadaceae
481c5c9d82c171ad1dd9158624a24bd4	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae	 g__Gemmatimonas	 s__uncultured_Gemmatimonadaceae
c62a0d0b95dff1840710f6c3a9047a58	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae	 g__Gemmatimonas	unknown
7005bf74503f5e993a31e250225fb980	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae	 g__Gemmatimonas	unknown
5fdf5279f1e0be328aefd0c876c3c8f5	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae	 g__Gemmatimonas	unknown
a0838e26a592ad9cb74f9932072ef57e	d__Bacteria	 p__Gemmatimonadota	 c__Longimicrobia	 o__Longimicrobiales	 f__Longimicrobiaceae	 g__Longimicrobiaceae	 s__uncultured_bacterium
56ee0b3d3b85efce3c34673cc7990eb9	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria	 s__Pythium_ultimum
20916dbaff6804587981158aea520f34	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
181d7e2b1be6307ba30447fd4d1572e0	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae	 g__RB41	 s__uncultured_Acidobacteriales
6aa6070fbf89169960fe3a8ee8468fdb	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae	 g__RB41	 s__uncultured_Acidobacteriales
2db5c4dcfd6198486cbf45dd1b09aa61	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae	 g__RB41	unknown
d83f39487ec2a360b02405b02ddc4d04	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae	 g__RB41	unknown
74c3b7af368cee6a18b5fe168f3460e7	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae	 g__RB41	unknown
927f6a3130ecc3d7551bd27a882cb997	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae	 g__RB41	 s__uncultured_Acidobacteriales
50943ce1e2612df130a27ab821bebd28	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae	 g__RB41	 s__uncultured_Acidobacteriales
656b36a856588659c6fa8d0bbe1d65ec	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae	 g__RB41	 s__uncultured_Acidobacteriales
743e6f40925cbaca71f1223a685b266e	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Subgroup_17	 f__Subgroup_17	 g__Subgroup_17	unknown
817fd55c5cb73d2bbadd2027f7a0758c	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae	 g__RB41	unknown
857f65a45318261c44e8330911c71cde	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__uncultured_bacterium
5bfc51a1cc1716553c608532bf264783	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__uncultured	 g__uncultured	unknown
8b7148d0c132c0c22b507ee538b65edd	d__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Acidobacteriales	 f__uncultured	 g__uncultured	 s__uncultured_proteobacterium
9ab94f52706a32bd928a85e77cd3dfc2	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__MSB-5E12	 f__MSB-5E12	 g__MSB-5E12	 s__uncultured_bacterium
044bc4c4308898008c3c835616deaa16	d__Bacteria	 p__Chloroflexi	 c__Ktedonobacteria	 o__Ktedonobacterales	 f__JG30-KF-AS9	 g__JG30-KF-AS9	 s__uncultured_bacterium
2248ee3630611348710e3fc224ddfa9e	d__Bacteria	 p__Armatimonadota	 c__Fimbriimonadia	 o__Fimbriimonadales	 f__Fimbriimonadaceae	 g__Fimbriimonadaceae	 s__uncultured_bacterium
c8c56e7d4469c56129900b00482b4d5a	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__IMCC26256	 f__IMCC26256	 g__IMCC26256	 s__uncultured_Aciditerrimonas
99284a7dc90fee491d78c32600f93eca	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae	 g__uncultured	 s__uncultured_organism
5441926a40768663cf2c3cabe4f771df	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae	 g__uncultured	 s__uncultured_Acidimicrobiales
f0f2e9996dca01c0ecc02def618b485e	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae	 g__uncultured	 s__uncultured_organism
cd5072e6ad80de593682795a55bba87d	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Blastocatellales	 f__Blastocatellaceae	unknown	unknown
e5ea337169d133f64c0e2572ebe2d6e9	d__Bacteria	 p__Armatimonadota	 c__Chthonomonadetes	 o__Chthonomonadales	 f__Chthonomonadales	 g__Chthonomonadales	 s__uncultured_Armatimonadetes
83312b98173c820d1c91d2aaf5da66cd	d__Bacteria	 p__Armatimonadota	 c__Chthonomonadetes	 o__Chthonomonadales	 f__Chthonomonadales	 g__Chthonomonadales	 s__uncultured_Armatimonadetes
5e66c6ff5a5d71b1a2b962b6c6ea63cc	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae	 g__uncultured	 s__uncultured_Acidimicrobiales
37928cce9fe6fb6513212288e483f354	d__Bacteria	 p__Actinobacteriota	unknown	unknown	unknown	unknown	unknown
50050916e66ae5b02e4329940f4c9415	d__Bacteria	 p__Actinobacteriota	unknown	unknown	unknown	unknown	unknown
04b64a41d39ae4368e2a6ffa877048d8	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__IMCC26256	 f__IMCC26256	 g__IMCC26256	 s__uncultured_actinobacterium
7b16f0d0f43134efe14e71ff1420eef3	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__IMCC26256	 f__IMCC26256	 g__IMCC26256	 s__uncultured_Ferrimicrobium
f406f0a453af995107aaa0aa9aa68143	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Streptosporangiales	 f__Thermomonosporaceae	 g__Actinoallomurus	 s__Actinoallomurus_bryophytorum
a9f13fc951798475163d761350305b42	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae	 g__uncultured	 s__uncultured_Acidimicrobiales
0f7b9d9ccfa6048da1bca7c7b738fe0d	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
e973cd2e008de4b50b8cdb5e6dc9babf	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__IMCC26256	 f__IMCC26256	 g__IMCC26256	 s__uncultured_Ferrimicrobium
4c8255a28c8c06bf8a36bcca6d9b3629	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__IMCC26256	 f__IMCC26256	 g__IMCC26256	unknown
ba90074e084c39c8988b8ce761dfcbee	d__Bacteria	 p__Chloroflexi	 c__AD3	 o__AD3	 f__AD3	 g__AD3	unknown
2d6a42eb6998327852227059d0d5ef43	d__Bacteria	 p__Chloroflexi	 c__AD3	 o__AD3	 f__AD3	 g__AD3	unknown
7e42af528389a616243abb44fe677caf	d__Bacteria	 p__Chloroflexi	 c__AD3	 o__AD3	 f__AD3	 g__AD3	 s__uncultured_Thermoflavimicrobium
