	Domain	Phylum	Class	Order	Family	Genus	Species
7f9ce6e5c6b67d30b28b9469581bdc66	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
a5199511a15cd2f379908a77c3646cf6	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 g__uncultured	 s__uncultured_bacterium
ff7deafce925d624c936021f561e7cbf	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	unknown	unknown
25af8cf33a280327ae8a7c2bae904f35	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pirellula	 s__uncultured_Planctomycetales
b654752674ba53ac4e628c0b5993df19	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Verrucomicrobiaceae	 g__Roseimicrobium	 s__metagenome
4214e7cd7b8f8a882b8a6b4fa2df1f42	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__BIrii41	 g__BIrii41	unknown
eddd3f5e808946b65975d0ace5ee3975	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__BIrii41	 g__BIrii41	unknown
124d8bfe4cc62b43842b0f3fc75a2e29	d__Archaea	 p__Crenarchaeota	 c__Nitrososphaeria	 o__Nitrosopumilales	 f__Nitrosopumilaceae	 g__Candidatus_Nitrosotenuis	unknown
f55d4e21ac13e98bb6bf436907b3d6e6	d__Bacteria	 p__Myxococcota	 c__bacteriap25	 o__bacteriap25	 f__bacteriap25	 g__bacteriap25	 s__uncultured_bacterium
171b4186067ffea35e83c9de15eb6658	d__Bacteria	 p__Myxococcota	 c__bacteriap25	 o__bacteriap25	 f__bacteriap25	 g__bacteriap25	 s__uncultured_bacterium
216f0ef6e923cacbe5478f4cceeae98f	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_sludge
eab9e8fcd21e5cff24a992d0d33bc303	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
f1d9a947a78d6a3ae77f1ecf5d31615d	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
3813856d0eefd114bc401d522dd1bae7	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
8e50772fbce1c013f427aad36033efd9	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
0409c0f35efe6f9ea0a82f03cddfce60	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_Anaerolineaceae
772f0e466ad948905bf210f12dd2042c	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
5dc04f8c5b244dfef2d3152a8c8ae7e6	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	unknown	unknown
903821c9d4f35b511674287251bcb0ad	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
a7f1d14d22d9ed68641de9c0daa38d07	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_soil
3ac3f41c62a85cece3522bea9ba409f3	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	unknown
199ea336fbcd3e21e908dcd96140ffba	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_soil
df6c4ae1143917b14acc6a191b4fc62f	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	unknown
0261fd95129fedaf4282fbebebbbde82	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
ba936e0ad45bd4dc3dfe3c0f0883fd78	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	unknown
7e65914d5ff9725271c299867a479a42	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	unknown
216c02ca1e7b02407446a2f68c043708	d__Bacteria	unknown	unknown	unknown	unknown	unknown	unknown
ebaeaf7715b2ec71de004cba227d296e	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	unknown
a47e634f9418d7d28ea12494d0407799	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
509b8d6834540ab50bd759bad9d5f33c	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	unknown	unknown	unknown
2ce2eb27f653c94ad2ce929686dedb48	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_sludge
79653c3ba3b8b6726549f446234ca3d2	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	unknown
8b736108f55e590c44c1a4266e8f6de4	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_soil
fda9d2919daa3a3b59396125c698b532	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	unknown	unknown
d890c0865bd35d7c29b78b968f7675b6	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_soil
6af62f342e46e680c2306f427f3d4fbe	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	unknown
f4c9de31894b5e91f9fd47ea6f3f51b9	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	unknown
b172e76c3f88f239fe052a37ed569e21	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__uncultured	 s__uncultured_Anaerolinea
56d1dad734edbf3a55df22c00d323067	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__SBR1031	 g__SBR1031	 s__uncultured_Anaerolineaceae
369edfde7f48a0a28fd26653bd080844	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
6ea86396d9515c5a82430260c25f8dab	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__A4b	 s__uncultured_bacterium
